Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
2006	165383	3 Poate Street	28/09/2006	16/02/2007	06/04/2006	$625,000	684m	Full transfer	5	1	2	2	-	$625,000	175	-	Combined Record	-	-	-	Single residential dwelling	$177,000	0.28
2006	37357	9 Sheaffe Street	28/07/2006	18/09/2006	17/03/2006	$530,000	1464m	Full transfer	4	3	-	2	-	$530,000	133	-	Combined Record	-	-	-	Single residential dwelling	$211,000	0.4
2006	203026	43 Calder Crescent	19/10/2006	05/01/2007	-	$520,000	1177m	Full transfer	-	-	-	-	-	$520,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	217501	2/54 Hyndes Crescent	28/02/2006	13/07/2006	-	$485,000	1056m	Full transfer	-	-	-	-	-	$485,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	166243	79 Blackwood Terrace	20/10/2006	15/08/2007	16/10/2006	$465,000	866m	Full transfer	4	1	-	-	2	$465,000	4	-	Combined Record	-	-	-	Single residential dwelling	$193,000	0.42
2006	168495	5 Percival Street	05/12/2006	08/03/2007	08/09/2006	$465,000	1495m	Full transfer	5	2	1	-	2	$465,000	88	-	Combined Record	-	-	-	Single residential dwelling	$211,000	0.45
2006	166865	14 Hyndes Crescent	23/10/2006	31/07/2007	-	$455,000	738m	Full transfer	-	-	-	-	-	$455,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	35621	22 Fossey Street	27/10/2006	11/01/2007	10/10/2006	$438,500	762m	Full transfer	4	1	1	2	-	$438,500	17	-	Combined Record	-	-	-	Single residential dwelling	$199,000	0.45
2006	33090	68 Spowers Circuit	31/10/2006	06/12/2006	-	$437,500	1028m	Full transfer	-	-	-	-	-	$437,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	217459	29 Blackwood Terrace	05/05/2006	20/06/2006	15/10/2005	$432,000	839m	Full transfer	3	1	1	-	1	$432,000	202	-	Combined Record	-	-	-	Single residential dwelling	$170,000	0.39
2006	164200	54 Pearson Street	07/07/2006	20/08/2006	26/05/2006	$430,000	867m	Full transfer	4	1	1	-	2	$430,000	42	-	Combined Record	-	-	-	Single residential dwelling	$204,000	0.47
2006	164201	40 Spowers Circuit	09/06/2006	15/08/2006	08/05/2006	$415,000	688m	Full transfer	3	1	-	1	-	$415,000	32	-	Combined Record	-	-	-	Single residential dwelling	$194,000	0.47
2006	168875	17 Woolrych Street	10/11/2006	06/02/2007	-	$400,300	811m	Full transfer	-	-	-	-	-	$400,300	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	217381	5 Coane Street	15/03/2006	24/04/2006	-	$400,000	769m	Full transfer	-	-	-	-	-	$400,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	217443	46 Spowers Circuit	16/03/2006	28/03/2006	-	$400,000	1066m	Full transfer	-	-	-	-	-	$400,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	75108	46 Spowers Circuit	16/02/2006	-	09/02/2006	$400,000	1066m	Full transfer	4	1	1	2	-	$400,000	7	-	Allhomes Record	-	-	-	-	$201,000	0.5
2006	33405	35 Hyndes Crescent	29/11/2006	26/02/2007	-	$398,000	877m	Full transfer	-	-	-	-	-	$398,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	35734	18 Cornish Place	20/11/2006	11/01/2007	12/10/2006	$395,000	420m	Full transfer	3	1	1	-	2	$395,000	39	-	Combined Record	-	-	-	Medium density dwelling	$201,000	0.51
2006	216332	47 Pearson Street	24/05/2006	07/07/2006	22/03/2006	$387,500	420m	Full transfer	3	1	1	2	-	$387,500	63	-	Combined Record	-	-	-	Medium density dwelling	$203,000	0.52
2006	169556	4 Pearson Place	03/10/2006	15/11/2006	13/09/2006	$386,000	788m	Full transfer	3	1	-	1	-	$386,000	20	-	Combined Record	-	-	-	Single residential dwelling	$184,000	0.48
2006	217427	57 Hyndes Crescent	15/02/2006	02/05/2006	02/02/2006	$380,000	784m	Full transfer	3	1	-	-	1	$380,000	13	-	Combined Record	-	-	-	Single residential dwelling	$190,000	0.5
2006	217429	53 Sheaffe Street	17/03/2006	10/04/2006	26/10/2005	$380,000	798m	Full transfer	4	1	1	1	2	$380,000	142	-	Combined Record	-	-	-	Single residential dwelling	$201,000	0.53
2006	217432	10 Dixon Drive	09/02/2006	29/03/2006	17/01/2006	$379,000	783m	Full transfer	4	1	1	-	1	$379,000	23	-	Combined Record	-	-	-	Single residential dwelling	$156,000	0.41
2006	202973	50 Hyndes Crescent	06/10/2006	05/01/2007	20/09/2006	$379,000	822m	Full transfer	3	1	-	2	-	$379,000	16	-	Combined Record	-	-	-	Single residential dwelling	$182,000	0.48
2006	169725	5 Embley Street	05/10/2006	11/12/2006	08/09/2006	$375,000	767m	Full transfer	3	1	-	1	1	$375,000	27	-	Combined Record	-	-	-	Single residential dwelling	$195,000	0.52
2006	34252	15 Embley Street	17/10/2006	29/11/2006	-	$371,250	740m	Full transfer	-	-	-	-	-	$371,250	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	229502	12 MacLachlan Street	29/06/2006	29/10/2006	31/03/2006	$368,000	179m	Full transfer	2	1	1	1	-	$368,000	90	-	Combined Record	-	-	-	Medium density dwelling	$177,000	0.48
2006	217340	104 Dixon Drive	20/02/2006	24/04/2006	27/10/2005	$365,000	747m	Full transfer	3	1	-	2	-	$365,000	116	-	Combined Record	-	-	-	Single residential dwelling	$156,000	0.43
2006	217395	38 Coane Street	28/02/2006	04/04/2006	28/07/2005	$365,000	785m	Full transfer	3	1	-	2	-	$365,000	215	-	Combined Record	-	-	-	Single residential dwelling	$187,000	0.51
2006	217447	10 Spowers Circuit	18/01/2006	29/01/2006	-	$360,000	741m	Full transfer	-	-	-	-	-	$360,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	169794	1 Camm Street	06/10/2006	13/12/2006	21/09/2006	$350,000	758m	Full transfer	3	1	-	1	-	$350,000	15	-	Combined Record	-	-	-	Single residential dwelling	$177,000	0.51
2006	202500	6 Sharland Place	19/06/2006	06/08/2006	26/05/2006	$350,000	737m	Full transfer	3	-	-	2	2	$350,000	24	-	Combined Record	-	-	-	Single residential dwelling	$179,000	0.51
2006	217363	71 MacLachlan Street	30/05/2006	06/07/2006	-	$350,000	328m	Full transfer	-	-	-	-	-	$350,000	-	-	Government Record	-	-	-	Medium density dwelling	-	-
2006	217400	14 Stapylton Street	21/03/2006	23/05/2006	09/03/2006	$350,000	780m	Full transfer	3	1	-	1	1	$350,000	12	-	Combined Record	-	-	-	Single residential dwelling	$201,000	0.57
2006	34528	20 Foxall Street	19/07/2006	28/09/2006	-	$349,000	694m	Full transfer	-	-	-	-	-	$349,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	217497	142 Dixon Drive	26/05/2006	21/07/2006	31/03/2006	$349,000	894m	Full transfer	3	1	-	2	-	$349,000	56	-	Combined Record	-	-	-	Single residential dwelling	$181,000	0.52
2006	217399	24 Coane Street	24/02/2006	10/04/2006	09/01/2006	$347,000	705m	Full transfer	3	-	-	-	-	$347,000	46	-	Combined Record	-	-	-	Single residential dwelling	$184,000	0.53
2006	217441	13 Spowers Circuit	06/04/2006	17/05/2006	16/03/2006	$344,000	834m	Full transfer	4	1	-	2	-	$344,000	21	-	Combined Record	-	-	-	Single residential dwelling	$194,000	0.56
2006	217390	10 Ligar Place	01/02/2006	10/03/2006	12/01/2006	$343,500	721m	Full transfer	4	1	-	-	1	$343,500	20	-	Combined Record	-	-	-	Single residential dwelling	$206,000	0.6
2006	318797	16 Spowers Circuit	30/07/2006	31/08/2006	-	$339,000	686m	Full transfer	-	-	-	-	-	$339,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	203662	158 Dixon Drive	29/08/2006	29/08/2006	-	$330,000	1052m	Full transfer	-	-	-	-	-	$330,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	217450	80 Dixon Drive	24/04/2006	15/06/2006	31/03/2006	$330,000	780m	Full transfer	3	1	-	1	1	$330,000	24	-	Combined Record	-	-	-	Single residential dwelling	$156,000	0.47
2006	217354	1 Govett Place	31/03/2006	04/05/2006	-	$318,000	377m	Full transfer	-	-	-	-	-	$318,000	-	-	Government Record	-	-	-	Medium density dwelling	-	-
2006	217352	10 Govett Place	09/05/2006	15/06/2006	-	$315,000	431m	Full transfer	-	-	-	-	-	$315,000	-	-	Government Record	-	-	-	Medium density dwelling	-	-
2006	202918	65 MacLachlan Street	20/11/2006	05/01/2007	03/11/2006	$306,000	180m	Full transfer	2	1	-	-	1	$306,000	17	-	Combined Record	-	-	-	Medium density dwelling	$165,000	0.54
2006	165271	25 MacLachlan Street	26/10/2006	15/02/2007	12/10/2006	$299,000	208m	Full transfer	2	1	-	-	1	$299,000	14	-	Combined Record	-	-	-	Medium density dwelling	$185,000	0.62
2006	203310	13 MacLachlan Street	12/10/2006	18/01/2007	-	$295,000	192m	Full transfer	-	-	-	-	-	$295,000	-	-	Government Record	-	-	-	Medium density dwelling	-	-
2006	34527	17/63 Pearson Street	11/08/2006	26/09/2006	20/07/2006	$284,000	15624m	Full transfer	2	1	-	-	1	$284,000	22	-	Combined Record	-	-	-	Multiple unit dwelling	$2,310,000	8.13
2006	169278	4/5 Hyndes Crescent	20/12/2006	22/02/2007	-	$240,000	9995m	Full transfer	-	-	-	-	-	$240,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	34637	21/5 Hyndes Crescent	26/07/2006	23/08/2006	-	$216,500	9995m	Full transfer	-	-	-	-	-	$216,500	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	165719	3 Calder Crescent	08/08/2006	22/11/2006	-	$182,500	727m	Partial transfer	-	-	-	-	-	$182,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	168112	120 Dixon Drive	01/03/2006	18/10/2007	-	$182,500	929m	Full transfer	-	-	-	-	-	$182,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	217471	9 Holder Place	11/04/2006	25/05/2006	-	$150,000	104m	Full transfer	-	-	-	-	-	$150,000	-	-	Government Record	-	-	-	Non retail commercial uses	-	-
2006	121830	6 Warner Place	08/11/2006	24/09/2007	-	$0	1021m	Full transfer	-	-	-	-	-	$0	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	169557	61 Sheaffe Street	04/10/2006	14/11/2006	-	-	1123m	Partial transfer	-	-	-	-	-	-	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	233567	41 Blackwood Terrace	27/03/2006	30/04/2008	-	-	705m	Full transfer	-	-	-	-	-	-	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	33089	13 Percival Street	14/11/2006	06/12/2006	-	-	989m	Full transfer	-	-	-	-	-	-	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	74048	54A Hyndes Crescent	28/02/2006	-	24/01/2006	-	1056m	Full transfer	3	1	1	2	-	-	35	-	Allhomes Record	-	-	-	-	-	-
2006	119562	26 Fossey Street	11/10/2006	02/11/2006	-	-	770m	Partial transfer	-	-	-	-	-	-	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	169555	4 Pearson Place	25/05/2006	15/11/2006	-	-	788m	Full transfer	-	-	-	-	-	-	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	217372	18/63 Pearson Street	20/05/2006	14/07/2006	-	-	15624m	Partial transfer	-	-	-	-	-	-	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	15382	            12/45 Foxall Street	25/05/2006	27/06/2006	-	-	10467m	Partial transfer	-	-	-	-	-	-	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	340314	10 Twynam Street	03/08/2006	26/09/2011	-	-	761m	Full transfer	-	-	-	-	-	-	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	217356	80 Blackwood Terrace	28/02/2006	07/04/2006	-	-	694m	Full transfer	-	-	-	-	-	-	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	34636	15 Percival Street	29/06/2006	21/08/2006	-	-	989m	Partial transfer	-	-	-	-	-	-	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	5007	            35 Hyndes Street	29/11/2006	-	27/10/2006	-	877m	Full transfer	3	1	-	-	1	-	33	-	Allhomes Record	-	-	-	-	-	-
2007	166419	40 Blackwood Terrace	02/06/2007	25/07/2007	08/05/2007	$536,000	782m	Full transfer	4	2	1	2	-	$536,000	25	-	Combined Record	-	-	-	Single residential dwelling	$179,000	0.33
2007	235627	12 Hyndes Crescent	04/12/2007	29/02/2008	18/11/2003	$530,000	810m	Full transfer	4	1	1	2	-	$530,000	1477	-	Combined Record	-	-	-	Single residential dwelling	$194,000	0.37
2007	164788	11 Sheaffe Street	07/02/2007	13/07/2007	15/11/2006	$527,000	1585m	Full transfer	4	1	1	2	4	$527,000	84	-	Combined Record	-	-	-	Single residential dwelling	$222,000	0.42
2007	36248	34 Coane Street	30/04/2007	06/07/2007	-	$500,000	774m	Full transfer	-	-	-	-	-	$500,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2007	236737	31 Percival Street	26/11/2007	18/04/2008	05/10/2007	$498,000	933m	Full transfer	4	1	1	2	-	$498,000	52	-	Combined Record	-	-	-	Single residential dwelling	$199,000	0.4
2007	167896	52 Hyndes Crescent	02/07/2007	18/09/2007	24/05/2007	$489,000	886m	Full transfer	4	1	2	2	-	$489,000	39	-	Combined Record	-	-	-	Single residential dwelling	$204,000	0.42
2007	234409	49 Hyndes Crescent	27/11/2007	17/01/2008	19/10/2007	$488,500	908m	Full transfer	4	1	1	-	2	$488,500	39	-	Combined Record	-	-	-	Single residential dwelling	$195,000	0.4
2007	168505	28 Percival Street	22/01/2007	06/03/2007	15/11/2006	$485,000	1301m	Full transfer	4	1	1	2	-	$485,000	68	-	Combined Record	-	-	-	Single residential dwelling	$216,000	0.45
2007	235288	4 Calder Crescent	16/11/2007	17/03/2008	-	$476,000	672m	Full transfer	-	-	-	-	-	$476,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2007	231139	12 Spowers Circuit	10/10/2007	15/11/2007	14/09/2007	$450,000	715m	Full transfer	3	1	-	-	1	$450,000	26	-	Combined Record	-	-	-	Single residential dwelling	$205,000	0.46
2007	107506	16 Frankland Street	21/09/2007	-	17/08/2007	$449,000	703m	Full transfer	4	2	-	-	-	$449,000	35	-	Allhomes Record	-	-	-	-	$188,000	0.42
2007	164544	13 Twynam Street	05/06/2007	13/07/2007	29/03/2007	$445,000	714m	Full transfer	4	1	1	-	2	$445,000	68	-	Combined Record	-	-	-	Single residential dwelling	$211,000	0.47
2007	316377	36 Blackwood Terrace	27/03/2007	15/05/2007	-	$440,000	725m	Full transfer	-	-	-	-	-	$440,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2007	231217	25 Hyndes Crescent	04/12/2007	17/01/2008	-	$440,000	790m	Full transfer	-	-	-	-	-	$440,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2007	231701	27 Weingarth Street	02/11/2007	19/12/2007	-	$439,000	882m	Full transfer	-	-	-	-	-	$439,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2007	121064	80 Dixon Drive	01/03/2007	12/09/2007	10/11/2006	$435,000	780m	Full transfer	3	1	-	1	-	$435,000	111	-	Combined Record	-	-	-	Single residential dwelling	$164,000	0.38
2007	304018	77 MacLachlan Street	24/02/2007	02/04/2007	-	$426,000	351m	Full transfer	-	-	-	-	-	$426,000	-	-	Government Record	-	-	-	Medium density dwelling	-	-
2007	167412	19 Percival Street	20/07/2007	04/09/2007	24/05/2007	$425,500	923m	Full transfer	4	1	1	-	2	$425,500	57	-	Combined Record	-	-	-	Single residential dwelling	$199,000	0.47
2007	119969	30 Coane Street	26/02/2007	02/04/2007	-	$420,000	1017m	Full transfer	-	-	-	-	-	$420,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2007	202635	72 De Graaff Street	11/05/2007	10/10/2007	13/04/2007	$417,000	672m	Full transfer	3	2	-	2	-	$417,000	28	-	Combined Record	-	-	-	Single residential dwelling	$200,000	0.48
2007	167143	4 Camm Street	27/02/2007	13/04/2007	-	$410,000	711m	Full transfer	-	-	-	-	-	$410,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2007	231725	12 Cornish Place	13/11/2007	07/01/2008	19/10/2007	$410,000	289m	Full transfer	3	1	1	-	2	$410,000	25	-	Combined Record	-	-	-	Medium density dwelling	$190,000	0.46
2007	33382	6/31 Foxall Street	12/01/2007	26/02/2007	21/12/2006	$410,000	5736m	Full transfer	3	1	1	2	-	$410,000	22	-	Combined Record	-	-	-	Multiple unit dwelling	-	-
2007	166244	47 Sheaffe Street	30/04/2007	15/08/2007	05/02/2007	$410,000	851m	Full transfer	4	1	1	2	1	$410,000	84	-	Combined Record	-	-	-	Single residential dwelling	$204,000	0.5
2007	232108	4 Frankland Street	02/11/2007	05/12/2007	-	$405,000	862m	Full transfer	-	-	-	-	-	$405,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2007	32810	4 Mott Street	12/02/2007	29/03/2007	18/01/2007	$405,000	753m	Full transfer	3	1	-	-	1	$405,000	25	-	Combined Record	-	-	-	Single residential dwelling	$210,000	0.52
2007	230174	43 Hyndes Crescent	04/10/2007	27/01/2008	-	$400,000	859m	Full transfer	-	-	-	-	-	$400,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2007	231365	33 Spowers Circuit	12/10/2007	19/02/2008	-	$400,000	698m	Full transfer	-	-	-	-	-	$400,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2007	166377	29 Sheaffe Street	12/07/2007	14/08/2007	-	$399,000	748m	Full transfer	-	-	-	-	-	$399,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2007	18369	            8/11 Hyndes Crescent	30/08/2007	13/11/2007	-	$399,000	9186m	Full transfer	-	-	-	-	-	$399,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2007	32791	31 Pearson Street	12/02/2007	26/03/2007	-	$395,000	673m	Full transfer	-	-	-	-	-	$395,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2007	167917	17 De Graaff Street	14/07/2007	17/09/2007	22/06/2007	$390,000	795m	Full transfer	3	1	-	2	-	$390,000	22	-	Combined Record	-	-	-	Single residential dwelling	$195,000	0.5
2007	203196	14 Fossey Street	30/04/2007	29/05/2007	-	$390,000	840m	Full transfer	-	-	-	-	-	$390,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2007	36269	26 Coane Street	09/05/2007	04/07/2007	-	$385,000	818m	Full transfer	-	-	-	-	-	$385,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2007	33268	35 Sheaffe Street	23/01/2007	26/02/2007	-	$376,000	728m	Full transfer	-	-	-	-	-	$376,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2007	409123	13/47 Foxall Street	20/07/2007	13/09/2007	28/06/2007	$376,000	10467m	Full transfer	3	1	1	2	-	$376,000	22	-	Combined Record	-	-	-	Multiple unit dwelling	-	-
2007	37069	4/28 De Graaff Street	18/05/2007	18/07/2007	-	$375,000	9129m	Full transfer	-	-	-	-	-	$375,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2007	119746	42 Mulley Street	16/02/2007	02/04/2007	-	$375,000	866m	Full transfer	-	-	-	-	-	$375,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2007	409122	3/51 Blackwood Terrace	11/05/2007	22/06/2007	26/02/2007	$369,000	1966m	Full transfer	3	1	1	2	-	$369,000	74	-	Combined Record	-	-	-	Multiple unit dwelling	-	-
2007	120321	3/47 Foxall Street	16/02/2007	16/04/2007	-	$363,500	10467m	Full transfer	-	-	-	-	-	$363,500	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2007	33373	42 Spowers Circuit	01/02/2007	02/03/2007	-	$356,000	749m	Full transfer	-	-	-	-	-	$356,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2007	165044	15/28 De Graaff Street	30/04/2007	29/06/2007	-	$355,000	9129m	Full transfer	-	-	-	-	-	$355,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2007	33666	11 Twynam Street	13/03/2007	24/05/2007	-	$350,000	687m	Full transfer	-	-	-	-	-	$350,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2007	121998	18/5 Hyndes Crescent	10/07/2007	25/09/2007	-	$340,000	9995m	Full transfer	-	-	-	-	-	$340,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2007	231369	49 MacLachlan Street	28/09/2007	08/11/2007	24/08/2007	$335,000	252m	Full transfer	2	1	-	-	1	$335,000	35	-	Combined Record	-	-	-	Medium density dwelling	$185,000	0.55
2007	169137	2 Govett Place	08/01/2007	08/02/2007	16/11/2006	$325,000	341m	Full transfer	2	1	-	-	2	$325,000	53	-	Combined Record	-	-	-	Medium density dwelling	$199,000	0.61
2007	36192	11/5 Hyndes Crescent	11/05/2007	06/07/2007	-	$310,000	9995m	Full transfer	-	-	-	-	-	$310,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2007	165179	15 MacLachlan Street	15/01/2007	16/02/2007	-	$309,000	203m	Full transfer	-	-	-	-	-	$309,000	-	-	Government Record	-	-	-	Medium density dwelling	-	-
2007	166433	9/5 Hyndes Crescent	25/06/2007	25/07/2007	-	$307,000	9995m	Full transfer	-	-	-	-	-	$307,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2007	166931	20/5 Hyndes Crescent	22/06/2007	14/08/2007	-	$300,000	9995m	Full transfer	-	-	-	-	-	$300,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2007	166182	8/5 Hyndes Crescent	21/06/2007	01/08/2007	12/05/2007	$295,000	9995m	Full transfer	3	1	-	-	1	$295,000	40	-	Combined Record	-	-	-	Multiple unit dwelling	-	-
2007	5468	            2/11 Hyndes Crescent	28/02/2007	03/05/2007	-	$286,000	9186m	Full transfer	-	-	-	-	-	$286,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2007	232161	26/63 Pearson Street	07/09/2007	22/02/2008	20/07/2006	$284,000	15624m	Full transfer	2	1	-	-	1	$284,000	414	-	Combined Record	-	-	-	Multiple unit dwelling	$2,310,000	8.13
2007	233015	1/7 Hyndes Crescent	19/11/2007	02/01/2008	-	$265,000	5315m	Full transfer	-	-	-	-	-	$265,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2007	166022	34/5 Hyndes Crescent	12/06/2007	25/07/2007	24/05/2007	$209,000	9995m	Full transfer	1	1	-	-	1	$209,000	19	-	Combined Record	-	-	-	Multiple unit dwelling	-	-
2007	409121	31/5 Hyndes Crescent	14/02/2007	10/05/2007	26/04/2006	$203,000	9995m	Full transfer	1	1	-	-	1	$203,000	294	-	Combined Record	-	-	-	Multiple unit dwelling	-	-
2007	316413	25/5 Hyndes Crescent	09/03/2007	04/05/2007	-	$185,000	9995m	Full transfer	-	-	-	-	-	$185,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2007	82787	5 Hyndes Crescent	14/03/2007	-	14/06/2006	$185,000	9995m	Full transfer	1	1	-	-	1	$185,000	273	-	Allhomes Record	-	-	-	-	$2,636,000	14.25
2007	35601	49 Sheaffe Street	20/03/2007	21/06/2007	-	$180,000	922m	Full transfer	-	-	-	-	-	$180,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2007	168630	29/5 Hyndes Crescent	09/02/2007	06/03/2007	01/12/2006	$178,000	9995m	Full transfer	1	1	-	-	1	$178,000	70	-	Combined Record	-	-	-	Multiple unit dwelling	-	-
2007	120162	7 Frankland Street	15/03/2007	19/04/2007	-	$90,000	819m	Full transfer	-	-	-	-	-	$90,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2007	32790	106 Dixon Drive	02/02/2007	28/03/2007	24/01/2007	$0	751m	Full transfer	-	-	-	-	-	$0	9	-	Combined Record	-	-	-	Single residential dwelling	$164,000	14.25
2007	121823	77 Blackwood Terrace	14/08/2007	28/09/2007	-	$0	821m	Full transfer	-	-	-	-	-	$0	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2007	237837	25/63 Pearson Street	06/11/2007	19/09/2008	-	$0	15624m	Full transfer	-	-	-	-	-	$0	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2007	164975	51 Williamson Street	20/04/2007	28/06/2007	-	$0	669m	Full transfer	-	-	-	-	-	$0	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2007	166184	25 Hyndes Crescent	12/04/2007	01/08/2007	-	$0	790m	Full transfer	-	-	-	-	-	$0	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2007	400897	3 Foxall Street	06/06/2007	05/06/2013	-	$0	765m	Full transfer	-	-	-	-	-	$0	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2007	32835	37 Embley Street	15/03/2007	24/04/2007	-	$0	691m	Full transfer	-	-	-	-	-	$0	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2007	168138	16 Frankland Street	30/05/2007	17/10/2007	-	$0	703m	Full transfer	-	-	-	-	-	$0	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2007	232294	14 Dixon Drive	09/05/2007	13/12/2007	-	$0	1012m	Full transfer	-	-	-	-	-	$0	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2007	232689	12 Woolrych Street	09/08/2007	01/11/2007	-	$0	946m	Full transfer	-	-	-	-	-	$0	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2007	37063	5 Weingarth Street	21/05/2007	18/07/2007	-	$0	780m	Full transfer	-	-	-	-	-	$0	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2007	170660	1/45 Foxall Street	03/08/2007	08/04/2008	-	-	10467m	Full transfer	-	-	-	-	-	-	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2007	231952	5 Govett Place	19/12/2007	04/07/2008	-	-	348m	Full transfer	-	-	-	-	-	-	-	-	Government Record	-	-	-	Medium density dwelling	-	-
2007	21734	            4/28 De Graaf Street	18/05/2007	-	02/04/2007	-	-	Full transfer	3	1	1	-	2	-	46	-	Allhomes Record	-	-	-	-	-	-
2007	235675	12 Williamson Street	16/07/2007	26/03/2008	-	-	758m	Full transfer	-	-	-	-	-	-	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2007	230293	19/7 Hyndes Crescent	08/08/2007	06/08/2008	-	-	5315m	Full transfer	-	-	-	-	-	-	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2007	236827	24/63 Pearson Street	22/03/2007	02/09/2008	-	-	15624m	Full transfer	-	-	-	-	-	-	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2007	21664	            2/61 Degraaf Street	28/02/2007	-	09/02/2007	-	-	Full transfer	2	1	-	-	1	-	19	-	Allhomes Record	-	-	-	-	-	-
2008	236572	176 Dixon Drive	20/02/2008	21/04/2008	-	$725,000	6423m	Full transfer	-	-	-	-	-	$725,000	-	-	Government Record	-	-	-	Residential	-	-
2008	233639	46 Williamson Street	26/02/2008	29/04/2008	31/03/2008	$640,000	908m	Full transfer	4	1	1	2	0	$640,000	-	-	Combined Record	-	-	-	Single residential dwelling	$257,000	0.4
2008	230407	1 Twynam Street	18/03/2008	30/05/2008	01/11/2007	$575,500	942m	Full transfer	4	2	-	2	-	$575,500	138	-	Combined Record	-	-	-	Single residential dwelling	$235,000	0.41
